sentence,quarter,topic,topic_label
"Operator Ladies and gentlemen, thank you for standing by",2022 Q1,2,Customer & Cards
Welcome to the American Express Q1 2022 earnings call,2022 Q1,-1,General
"Operator instructions As a reminder, todays call is being recorded",2022 Q1,-1,General
"I would now like to turn the conference over to our host, head of investor relations, Ms",2022 Q1,-1,General
Vivian Zhou,2022 Q1,1,Executive & Financial
"Please, go ahead",2022 Q1,2,Customer & Cards
"Vivian Zhou -- Head of Investor Relations Thank you, Alan, and thank you, all, for joining todays call",2022 Q1,1,Executive & Financial
"As a reminder, before we begin, todays discussion contains forward-looking statements about the companys future business and financial performance",2022 Q1,0,Growth & Spending
These are based on managements current expectations and are subject to risks and uncertainties,2022 Q1,-1,General
Factors that could cause actual results to differ materially from these statements are included in todays presentation slides and in our reports on file with the SEC,2022 Q1,4,Other
The discussion today also contains non-GAAP financial measures,2022 Q1,0,Growth & Spending
"The comparable GAAP financial measures are included in this quarters earnings materials, as well as the earnings materials for the prior periods we discussed",2022 Q1,0,Growth & Spending
All of these are posted on our website at ir.americanexpress.com,2022 Q1,-1,General
"We will begin today with Steve Squeri, chairman and CEO, who will start with some remarks about the companys progress and results and then Jeff Campbell, chief financial officer, will provide a more detailed review of our financial performance",2022 Q1,-1,General
"After that, we will move to QA on the results with both Steve and Jeff",2022 Q1,-1,General
"With that, let me turn it over to Steve",2022 Q1,3,Outlook & Guidance
"Steve Squeri -- Chairman and Chief Executive Officer Thanks, Vivian, and good morning, everyone",2022 Q1,1,Executive & Financial
Welcome to our first quarter earnings call,2022 Q1,2,Customer & Cards
"At our investor day last month, we took you through a detailed discussion of our strategies for driving sustainable growth across our businesses and explain why we are confident we can achieve our growth plan aspirations for 2024 and beyond",2022 Q1,0,Growth & Spending
"As we said then, our confidence is based on three interrelated factors the success of the strategy weve been pursuing over the past several years, which focuses on investing in our brand, customers, value propositions, coverage, technology, and talent to build share, scale, and relevance the momentum weve been generating through the effective execution of that strategy and a number of structural shifts in the payment industry that are contributing to our momentum",2022 Q1,-1,General
